Host Nation,City/Town,Category,Surface,Tournament Name
China,Maanshan,M15,Indoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
France,Creteil,M25,Indoor - Hard,
Australia,Mildura,M25,Outdoor - Grass,
Spain,Les Franqueses del Vallès,M25,Outdoor - Hard,
China,Luan,M25,Outdoor - Hard,
Paraguay,Asuncion,M25,Outdoor - Clay,
Portugal,Vale do Lobo,M25,Outdoor - Hard,
Canada,Montreal,M15,Indoor - Hard,
Japan,Tokyo,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Mexico,Huamantla,M15,Outdoor - Hard,
India,Chandigarh,M15,Outdoor - Hard,
Cyprus,Alaminos,M15,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Croatia,Porec,M15,Outdoor - Clay,
Turkiye,Antalya,M15,Outdoor - Clay,
India,Chandigarh,M15,Outdoor - Hard,
Spain,Badalona,M25,Outdoor - Clay,
Dominican Republic,Santo Domingo,M25,Outdoor - Hard,
USA,"Bakersfield, CA",M25,Outdoor - Hard,
Australia,Swan Hill,M25,Outdoor - Grass,
Portugal,Loule,M25,Outdoor - Hard,
China,Shenzhen,M25,Outdoor - Hard,
France,Toulouse-Balma,M25,Indoor - Hard,
Croatia,Rovinj,M15,Outdoor - Clay,
Cyprus,Alaminos,M15,Outdoor - Clay,
Greece,Heraklion,M15,Outdoor - Hard,
Japan,Tokyo,M15,Outdoor - Hard,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Thailand,Nonthaburi,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
India,Ahmedabad,M15,Outdoor - Hard,
Argentina,Villa Maria,M15,Outdoor - Clay,
Argentina,Lujan,M25,Outdoor - Clay,
India,Ahmedabad,M25,Outdoor - Hard,
Dominican Republic,Santo Domingo,M25,Outdoor - Hard,
USA,"Calabasas, CA",M25,Outdoor - Hard,
France,Saint-Dizier,M25,Indoor - Hard,
Spain,Tarragona,M25,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Japan,Tsukuba,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Cyprus,Alaminos,M15,Outdoor - Clay,
Croatia,Opatija,M15,Outdoor - Clay,
Thailand,Nonthaburi,M15,Outdoor - Hard,
Turkiye,Antalya,M15,Outdoor - Clay,
Italy,Foggia,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
Argentina,Chacabuco,M25,Outdoor - Clay,
India,Bengaluru,M25,Outdoor - Hard,
Turkiye,Antalya,M25,Outdoor - Clay,
Spain,Reus,M25,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Japan,Kashiwa,M15,Outdoor - Hard,
France,Lons-le-Saunier,M15,Indoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
Turkiye,Antalya,M25,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
China,Luan,M15,Outdoor - Hard,
Egypt,Sharm ElSheikh,M25,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
Japan,Osaka,M15,Outdoor - Hard,
China,Luan,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Croatia,Dubrovnik,M15,Outdoor - Clay,
Turkiye,Antalya,M15,Outdoor - Clay,
Egypt,Sharm ElSheikh,M25,Outdoor - Hard,
France,Angers,M25,Indoor - Clay,
Italy,Santa margherita di Pula,M25,Outdoor - Clay,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
Japan,Osaka,M15,Outdoor - Hard,
Kazakhstan,Shymkent,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
China,Luan,M15,Outdoor - Hard,
USA,"Vero Beach, FL",M15,Outdoor - Clay,
Turkiye,Antalya,M15,Outdoor - Clay,
Spain,Sanxenxo,M15,Outdoor - Hard,
Great Britain,Nottingham,M25,Outdoor - Hard,
China,Anning,M25,Outdoor - Clay,
Spain,Sabadell,M25,Outdoor - Clay,
Italy,Santa margherita di Pula,M25,Outdoor - Clay,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
Kazakhstan,Shymkent,M15,Outdoor - Clay,
Netherlands,Oegstgeest,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
USA,"Orange Park, FL",M15,Outdoor - Clay,
Great Britain,Nottingham,M25,Outdoor - Hard,
China,Baotou,M25,Indoor - Clay,
Serbia,Kursumlijska Banja,M25,Outdoor - Clay,
Italy,Santa margherita di Pula,M25,Outdoor - Clay,
Romania,Bistrita,M15,Outdoor - Clay,
Mexico,Villahermosa,M15,Indoor - Hard,
Iran,Tehran,M15,Outdoor - Clay,
Greece,Heraklion,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Georgia,Tbilisi,M25,Outdoor - Hard,
Italy,Reggio Emilia,M25,Outdoor - Clay,
Mexico,Xalapa,M25,Outdoor - Hard,
USA,"Pensacola, FL",M25,Outdoor - Clay,
Spain,Gurb,M25,Outdoor - Clay,
USA,"Orlando, FL",M15,Outdoor - Clay,
Sweden,Bastad,M15,Outdoor - Clay,
Bosnia and Herzegovina,Prijedor,M15,Outdoor - Clay,
Iran,Tehran,M15,Outdoor - Clay,
China,Luan,M15,Outdoor - Hard,
Romania,Bucharest,M15,Outdoor - Clay,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Hungary,Szentendre,M15,Outdoor - Clay,
Greece,Heraklion,M15,Outdoor - Hard,
Chile,Coquimbo,M25,Outdoor - Clay,
Croatia,Bol,M25,Outdoor - Clay,
Spain,Mataro,M25,Outdoor - Clay,
USA,"Orlando, FL",M25,Outdoor - Clay,
Italy,Cervia,M25,Outdoor - Clay,
Romania,Bucharest,M15,Outdoor - Clay,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
South Korea,Andong,M15,Outdoor - Hard,
Bosnia and Herzegovina,Brcko,M15,Outdoor - Clay,
Finland,Kotka,M15,Outdoor - Clay,
China,Luan,M15,Outdoor - Hard,
Uzbekistan,Tashkent,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Greece,Heraklion,M25,Outdoor - Hard,
Croatia,Bol,M25,Outdoor - Clay,
Romania,Satu Mare,M25,Outdoor - Clay,
Chile,Coquimbo,M25,Outdoor - Clay,
France,Carnac,M25,Outdoor - Clay,
Austria,Warmbad Villach,M15,Outdoor - Clay,
Uzbekistan,Tashkent,M15,Outdoor - Hard,
China,Luan,M15,Outdoor - Hard,
Armenia,Tsaghkadzor,M15,Outdoor - Clay,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
Bosnia and Herzegovina,Doboj,M15,Outdoor - Clay,
South Korea,Daegu,M15,Outdoor - Hard,
Spain,La Nucia,M15,Outdoor - Clay,
USA,"San Diego, CA",M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Hungary,Gyula,M15,Outdoor - Clay,
Turkiye,Kayseri,M15,Outdoor - Hard,
South Korea,Changwon,M25,Outdoor - Hard,
France,Grasse,M25,Outdoor - Clay,
Spain,Cordoba,M25,Outdoor - Clay,
Serbia,Belgrade,M25,Outdoor - Clay,
Dominican Republic,Santo Domingo,M25,Outdoor - Hard,
Tunisia,Monastir,M25,Outdoor - Hard,
Japan,Karuizawa,M15,Outdoor - Clay,
Armenia,Tsaghkadzor,M15,Outdoor - Clay,
China,Luan,M15,Outdoor - Hard,
Italy,Caltanissetta,M15,Outdoor - Clay,
Austria,Klagenfurt,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Slovenia,Ljubljana,M15,Outdoor - Clay,
Turkiye,Kayseri,M15,Outdoor - Hard,
USA,"San Diego, CA",M15,Outdoor - Hard,
Bosnia and Herzegovina,Kiseljak,M25,Outdoor - Clay,
Spain,Martos,M25,Outdoor - Hard,
USA,"Wichita, KS",M25,Outdoor - Hard,
France,Villeneuve-Loubet,M25,Outdoor - Clay,
Sweden,Värnamo,M25,Outdoor - Clay,
Czechia,Ceska Lipa,M25,Outdoor - Clay,
Dominican Republic,Santo Domingo,M25,Outdoor - Hard,
Tunisia,Monastir,M25,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Turkiye,Kayseri,M15,Outdoor - Hard,
Romania,Oradea,M15,Outdoor - Clay,
Hungary,Nyiregyhaza,M15,Outdoor - Clay,
USA,"San Diego, CA",M15,Outdoor - Hard,
Finland,Vaasa,M15,Outdoor - Hard,
Italy,Messina,M15,Outdoor - Clay,
China,Luan,M15,Outdoor - Hard,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
Guam,Harmon,M15,Outdoor - Hard,
USA,"Tulsa, OK",M25,Outdoor - Hard,
Italy,Cattolica,M25,Outdoor - Clay,
Switzerland,Klosters,M25,Outdoor - Clay,
China,Luzhou,M25,Outdoor - Hard,
Tunisia,Monastir,M25,Outdoor - Hard,
Germany,Saarlouis,M15,Outdoor - Clay,
Spain,MUNGIA,M15,Indoor - Clay,
USA,"Rancho Santa Fe, CA",M15,Outdoor - Hard,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Turkiye,Kayseri,M15,Outdoor - Hard,
Belgium,Duffel,M15,Outdoor - Clay,
Romania,Cluj Napoca,M15,Outdoor - Clay,
Hungary,Nyiregyhaza,M15,Outdoor - Clay,
Morocco,Casablanca,M15,Outdoor - Clay,
Portugal,Elvas,M25,Outdoor - Hard,
Tunisia,Monastir,M25,Outdoor - Hard,
Romania,Targu Mures,M25,Outdoor - Clay,
France,Montauban,M25,Outdoor - Clay,
Belgium,Brussels,M25,Outdoor - Clay,
Spain,Bakio,M25,Outdoor - Hard,
Netherlands,Alkmaar,M15,Outdoor - Clay,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Italy,Bergamo,M15,Outdoor - Clay,
Germany,Kamen,M15,Outdoor - Clay,
Croatia,Zagreb,M15,Outdoor - Clay,
Turkiye,Kayseri,M15,Outdoor - Hard,
Poland,Grodzisk Mazowiecki,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
China,Maanshan,M15,Indoor - Hard,
Morocco,Casablanca,M15,Outdoor - Clay,
USA,"Lakewood, CA",M15,Outdoor - Hard,
Portugal,Figueira da Foz,M25,Outdoor - Hard,
South Africa,Hillcrest,M25,Outdoor - Hard,
France,Ajaccio,M25,Outdoor - Hard,
Canada,Laval,M25,Outdoor - Hard,
Germany,Marburg,M25,Outdoor - Clay,
Spain,Getxo,M15,Outdoor - Clay,
Netherlands,Amstelveen,M15,Outdoor - Clay,
USA,"Los Angeles, CA",M15,Outdoor - Hard,
Serbia,Kursumlijska Banja,M15,Outdoor - Clay,
Japan,Tokyo,M15,Outdoor - Hard,
China,Maanshan,M15,Indoor - Hard,
Slovenia,Štore,M15,Outdoor - Clay,
Morocco,Tanger,M15,Outdoor - Clay,
Turkiye,Kayseri,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Argentina,San Salvador de Jujuy,M15,Outdoor - Clay,
Spain,Roda de Bara,M25,Outdoor - Hard,
USA,"Dallas, TX",M25,Indoor - Hard,
Colombia,Villavicencio,M25,Outdoor - Clay,
Netherlands,The Hague,M25,Outdoor - Clay,
Germany,Kassel,M25,Outdoor - Clay,
France,Bastia-Lucciana,M25,Outdoor - Clay,
Austria,Telfs,M15,Outdoor - Clay,
Slovenia,Litija,M15,Outdoor - Clay,
China,Maanshan,M15,Indoor - Hard,
Japan,Tokyo,M15,Outdoor - Hard,
South Africa,Hillcrest,M15,Outdoor - Hard,
Argentina,Salta,M15,Outdoor - Clay,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
USA,"San Diego, CA",M15,Outdoor - Hard,
Poland,Lodz,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Thailand,Nonthaburi,M15,Outdoor - Hard,
Austria,Kramsach,M25,Outdoor - Clay,
France,Uriage,M25,Outdoor - Clay,
Spain,Gandia,M25,Outdoor - Clay,
USA,"Louisville, KY",M25,Outdoor - Hard,
Portugal,Castelo Branco,M25,Outdoor - Hard,
South Africa,Hillcrest,M15,Outdoor - Hard,
USA,"Rochester, NY",M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
El Salvador,Santa Tecla,M15,Outdoor - Hard,
Romania,Slobozia,M15,Outdoor - Clay,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Slovakia,Poprad,M15,Outdoor - Clay,
Slovenia,Nova Gorica,M15,Outdoor - Clay,
Colombia,Bucaramanga,M15,Outdoor - Clay,
Thailand,Nakhon Pathom,M15,Outdoor - Hard,
Italy,Gubbio,M15,Outdoor - Clay,
Germany,Uslar,M15,Outdoor - Clay,
Germany,Metzingen,M25,Outdoor - Clay,
Spain,Denia,M25,Outdoor - Clay,
Austria,Ollersbach,M25,Outdoor - Clay,
Brazil,Sao Paulo,M25,Outdoor - Clay,
Portugal,Porto,M25,Outdoor - Hard,
Romania,Bacau,M25,Outdoor - Clay,
USA,"Champaign, IL",M25,Outdoor - Hard,
Italy,Segrate,M15,Outdoor - Clay,
El Salvador,Santa Tecla,M15,Outdoor - Hard,
China,Wuning,M15,Outdoor - Hard,
Chile,Santiago,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Thailand,Nakhon Pathom,M15,Outdoor - Hard,
Italy,Bolzano,M25,Outdoor - Clay,
Germany,Wetzlar,M25,Outdoor - Clay,
Congo,Brazzaville,M25,Outdoor - Clay,
Poland,Koszalin,M25,Outdoor - Clay,
Romania,Pitesti,M25,Outdoor - Clay,
USA,"Edwardsville, IL",M25,Outdoor - Hard,
Denmark,Gentofte,M25,Outdoor - Clay,
Spain,Xativa,M15,Outdoor - Clay,
Indonesia,Bali,M15,Outdoor - Hard,
Austria,Wels,M15,Outdoor - Clay,
Chile,Santiago,M15,Outdoor - Clay,
Thailand,Nakhon Pathom,M15,Outdoor - Hard,
China,Wuning,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Brazil,Joinville,M15,Indoor - Clay,
Ireland,Dublin,M15,Outdoor - Carpet,
Spain,Tauste,M25,Outdoor - Hard,
Italy,Montesilvano,M25,Outdoor - Clay,
USA,"Southaven, MS",M25,Outdoor - Hard,
Congo,Brazzaville,M25,Outdoor - Clay,
Indonesia,Bali,M25,Outdoor - Hard,
Great Britain,Roehampton,M25,Outdoor - Hard,
Tunisia,Monastir,M25,Outdoor - Hard,
Kazakhstan,Astana,M15,Outdoor - Hard,
Australia,Brisbane,M15,Outdoor - Hard,
Romania,Curtea de Arges,M15,Outdoor - Clay,
Belgium,Eupen,M15,Outdoor - Clay,
Bulgaria,Sofia,M15,Outdoor - Clay,
China,Wuning,M15,Outdoor - Hard,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Singapore,Singapore,M15,Indoor - Hard,
Slovenia,Slov. Bistrica,M15,Outdoor - Clay,
Germany,Frankfurt,M15,Outdoor - Clay,
China,Yinchuan,M25,Outdoor - Hard,
Portugal,Idanha-a-Nova,M25,Outdoor - Hard,
Belgium,Koksijde,M25,Outdoor - Clay,
Great Britain,Aldershot,M25,Outdoor - Hard,
Indonesia,Bali,M25,Outdoor - Hard,
Spain,Gijón,M25,Outdoor - Clay,
Tunisia,Monastir,M25,Outdoor - Hard,
Finland,Turku,M15,Outdoor - Hard,
Romania,Targu Jiu,M15,Outdoor - Clay,
Australia,Brisbane,M15,Outdoor - Hard,
Poland,Bielsko Biala,M15,Outdoor - Clay,
USA,"Huntsville, AL",M15,Outdoor - Clay,
Serbia,Pirot,M15,Outdoor - Clay,
Singapore,Singapore,M15,Indoor - Hard,
Germany,Trier,M15,Outdoor - Clay,
Sweden,Ystad,M15,Outdoor - Clay,
Germany,Ueberlingen,M25,Outdoor - Clay,
Spain,Santander,M25,Outdoor - Clay,
Italy,Lesa,M25,Outdoor - Clay,
Switzerland,Muttenz,M25,Outdoor - Clay,
Slovenia,ŽTK Maribor,M25,Outdoor - Clay,
Chinese Taipei,Taipei,M25,Outdoor - Hard,
Portugal,Idanha-a-Nova,M25,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Austria,Mistelbach,M15,Outdoor - Clay,
Romania,Arad,M15,Outdoor - Clay,
Poland,Krakow,M15,Outdoor - Clay,
China,Maanshan,M15,Indoor - Hard,
Serbia,PIROT,M15,Outdoor - Clay,
Belgium,Huy,M15,Outdoor - Clay,
Sweden,Båstad,M15,Outdoor - Clay,
Thailand,Nakhon Pathom,M15,Outdoor - Hard,
Netherlands,Oldenzaal,M25,Outdoor - Clay,
Switzerland,Sion,M25,Outdoor - Clay,
Chinese Taipei,Taipei,M25,Outdoor - Hard,
Slovenia,Maribor,M25,Outdoor - Clay,
Argentina,Trelew,M25,Indoor - Hard,
Poland,Poznan,M25,Outdoor - Clay,
Spain,Oviedo,M25,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Romania,Bucharest,M15,Outdoor - Clay,
Hungary,Budapest,M15,Outdoor - Hard,
China,Maanshan,M15,Indoor - Hard,
Hong Kong,Hong Kong,M15,Outdoor - Hard,
Austria,Vienna,M15,Outdoor - Clay,
Thailand,Nakhon Pathom,M15,Outdoor - Hard,
France,Cap d'Agde,M15,Outdoor - Clay,
Italy,Forli,M15,Outdoor - Clay,
Germany,Allershausen,M15,Outdoor - Clay,
Indonesia,Bali,M15,Outdoor - Hard,
Argentina,Mar Del Plata,M25,Outdoor - Clay,
Switzerland,Lausanne,M25,Outdoor - Clay,
Indonesia,Bali,M25,Outdoor - Hard,
France,Bagnères-de-Bigorre,M25,Outdoor - Hard,
Japan,Sapporo,M25,Outdoor - Hard,
Germany,Meerbusch,M25,Outdoor - Clay,
Thailand,Nakhon Pathom,M25,Outdoor - Hard,
Italy,Bologna,M15,Outdoor - Clay,
China,Maanshan,M15,Indoor - Hard,
Netherlands,Haren,M15,Outdoor - Clay,
Hong Kong,Hong Kong,M15,Outdoor - Hard,
Poland,Szczawno,M15,Outdoor - Clay,
Egypt,Hurghada,M15,Outdoor - Hard,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Spain,Madrid,M15,Outdoor - Clay,
Romania,Buzau,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Brazil,Cuiaba,M25,Outdoor - Clay,
Australia,Tamworth,M25,Outdoor - Hard,
Indonesia,Bali,M25,Outdoor - Hard,
Japan,Sapporo,M25,Outdoor - Hard,
France,Plaisir,M25,Indoor - Hard,
Italy,Pozzuoli,M25,Outdoor - Hard,
China,Maanshan,M15,Indoor - Hard,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Egypt,Hurghada,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Spain,Madrid,M15,Outdoor - Hard,
Japan,TAKASAKI,M25,Outdoor - Hard,
Portugal,Setubal,M25,Outdoor - Hard,
China,Guiyang,M25,Outdoor - Hard,
Australia,Tamworth,M25,Outdoor - Hard,
Brazil,Londrina,M25,Outdoor - Clay,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
France,Nevers,M25,Indoor - Hard,
Turkiye,Kayseri,M15,Outdoor - Hard,
Egypt,Hurghada,M15,Outdoor - Hard,
Serbia,KURSUMLIJSKA BANJA,M15,Outdoor - Clay,
Spain,Melilla,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
USA,"Fayetteville, AR",M15,Outdoor - Hard,
Iran,Tehran,M15,Outdoor - Clay,
Spain,Sabadell,M25,Outdoor - Clay,
Serbia,Zlatibor,M25,Outdoor - Clay,
Brazil,Barueri,M25,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
Egypt,Sharm ElSheikh,M25,Outdoor - Hard,
Czechia,Pardubice,M25,Outdoor - Clay,
Sweden,Falun,M25,Indoor - Hard,
France,Forbach,M15,Indoor - Carpet,
Greece,Heraklion,M15,Outdoor - Hard,
Turkiye,Kayseri,M15,Outdoor - Hard,
Romania,Otopeni,M15,Outdoor - Clay,
Tunisia,Monastir,M15,Outdoor - Hard,
Slovenia,Slovenj Gradec,M15,Outdoor - Clay,
USA,"Ann Arbor, MI",M15,Outdoor - Hard,
Hungary,Budapest,M15,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
Egypt,Sharm ElSheikh,M25,Outdoor - Hard,
Australia,Perth,M25,Outdoor - Hard,
Spain,Zaragoza,M25,Outdoor - Clay,
Brazil,Salvador,M25,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Turkiye,Kayseri,M15,Outdoor - Hard,
USA,"Winston-Salem, NC",M15,Outdoor - Hard,
Georgia,Telavi,M15,Outdoor - Clay,
Brazil,Rio de Janeiro,M25,Outdoor - Clay,
Tunisia,Monastir,M25,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
Australia,Perth,M25,Outdoor - Hard,
Rwanda,Kigali,M25,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
USA,"Lexington, KY",M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Spain,Pontevedra,M15,Outdoor - Hard,
France,Rodez,M15,Indoor - Hard,
Georgia,Tbilisi,M15,Outdoor - Clay,
Tunisia,Monastir,M25,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
Rwanda,Kigali,M25,Outdoor - Clay,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
France,Villers-lès-Nancy,M15,Indoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Greece,Heraklion,M15,Outdoor - Hard,
Chile,Santiago,M15,Outdoor - Clay,
Germany,Offenbach,M15,Indoor - Hard,
Spain,CASTELLON,M15,Outdoor - Clay,
Portugal,SINTRA,M25,Outdoor - Hard,
Great Britain,Sheffield,M25,Indoor - Hard,
China,Huzhou,M25,Outdoor - Hard,
USA,"Norman, OK",M25,Outdoor - Hard,
Australia,Brisbane,M25,Outdoor - Hard,
Italy,Santa Margherita di Pula,M25,Outdoor - Clay,
France,Sarreguemines,M25,Indoor - Carpet,
Egypt,Sharm ElSheikh,M15,Outdoor - Hard,
Japan,Tanagura,M15,Outdoor - Hard,
Tunisia,Monastir,M15,Outdoor - Hard,
Croatia,Bol,M15,Outdoor - Clay,
Greece,Heraklion,M15,Outdoor - Hard,
Chile,Santiago,M15,Outdoor - Clay,
Thailand,Hua Hin,M15,Outdoor - Hard,
Portugal,SINTRA,M25,Outdoor - Hard,
China,Qian Daohu,M25,Outdoor - Hard,
Great Britain,Glasgow,M25,Indoor - Hard,
Australia,Brisbane,M25,Outdoor - Hard,
Brazil,Lajeado,M25,Outdoor - Clay,
